Customer_ID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment
CUST_00001,124,1,219.32,3,1,2,312,Regular
CUST_00002,394,1,332.34,1,1,2,112,At Risk
CUST_00003,439,1,66.44,1,1,1,111,At Risk
CUST_00004,72,1,112.65,4,1,1,411,Regular
CUST_00005,311,1,349.45,2,1,3,213,Regular
CUST_00006,326,1,131.96,2,1,2,212,Regular
CUST_00007,337,1,150.41,1,1,2,112,At Risk
CUST_00008,380,1,49.1,1,1,1,111,At Risk
CUST_00009,74,1,55.89,4,1,1,411,Regular
CUST_00010,399,1,215.13,1,1,2,112,At Risk
CUST_00011,105,1,770.72,4,1,3,413,Regular
CUST_00012,72,1,1090.15,4,1,4,414,Regular
CUST_00013,172,1,53.73,3,1,1,311,Regular
CUST_00014,407,1,30.18,1,1,1,111,At Risk
CUST_00015,149,1,284.16,3,1,2,312,Regular
CUST_00016,235,1,868.4,2,1,3,213,Regular
CUST_00017,435,1,67.22,1,1,1,111,At Risk
CUST_00018,436,1,198.21,1,1,2,112,At Risk
CUST_00019,404,1,321.57,1,1,2,112,At Risk
CUST_00020,340,1,303.91,1,1,2,112,At Risk
CUST_00021,332,1,449.18999999999994,2,1,3,213,Regular
CUST_00022,193,1,26.23,3,1,1,311,Regular
CUST_00023,143,1,245.95,3,1,2,312,Regular
CUST_00024,438,1,79.59,1,1,1,111,At Risk
CUST_00025,164,1,89.32,3,1,1,311,Regular
CUST_00026,350,1,176.44,1,1,2,112,At Risk
CUST_00027,85,1,245.89,4,1,2,412,Regular
CUST_00028,119,1,604.91,3,1,3,313,Regular
CUST_00029,92,1,230.37,4,1,2,412,Regular
CUST_00030,172,1,2497.83,3,1,4,314,Regular
CUST_00031,237,1,131.13,2,1,2,212,Regular
CUST_00032,339,1,88.67,1,1,1,111,At Risk
CUST_00033,222,1,41.88,3,1,1,311,Regular
CUST_00034,150,1,2028.1299999999997,3,1,4,314,Regular
CUST_00035,309,1,9406.46,2,1,4,214,Regular
CUST_00036,37,1,2424.48,4,1,4,414,Regular
CUST_00037,6,1,59.08,4,1,1,411,Regular
CUST_00038,448,1,391.04999999999995,1,1,3,113,At Risk
CUST_00039,63,1,471.56,4,1,3,413,Regular
CUST_00040,39,1,361.87,4,1,3,413,Regular
CUST_00041,370,1,3767.04,1,1,4,114,At Risk
CUST_00042,94,1,1058.9599999999998,4,1,4,414,Regular
CUST_00043,235,1,650.45,2,1,3,213,Regular
CUST_00044,277,1,271.35999999999996,2,1,2,212,Regular
CUST_00045,309,1,241.44,2,1,2,212,Regular
CUST_00046,372,1,140.24,1,1,2,112,At Risk
CUST_00047,341,1,183.07999999999998,1,1,2,112,At Risk
CUST_00048,61,1,139.34,4,1,2,412,Regular
CUST_00049,279,1,266.28,2,1,2,212,Regular
CUST_00050,399,1,933.58,1,1,3,113,At Risk
CUST_00051,404,1,1222.37,1,1,4,114,At Risk
CUST_00052,257,1,101.46,2,1,1,211,Regular
CUST_00053,402,1,1351.08,1,1,4,114,At Risk
CUST_00054,268,1,3314.93,2,1,4,214,Regular
CUST_00055,18,1,567.1999999999999,4,1,3,413,Regular
CUST_00056,275,1,199.44,2,1,2,212,Regular
CUST_00057,142,1,97.88,3,1,1,311,Regular
CUST_00058,316,1,844.32,2,1,3,213,Regular
CUST_00059,38,1,187.42,4,1,2,412,Regular
CUST_00060,429,1,19.74,1,1,1,111,At Risk
CUST_00061,78,1,21478.35,4,1,4,414,Regular
CUST_00062,216,1,1218.98,3,1,4,314,Regular
CUST_00063,177,1,922.6,3,1,3,313,Regular
CUST_00064,388,1,377.6,1,1,3,113,At Risk
CUST_00065,258,1,164.43,2,1,2,212,Regular
CUST_00066,411,1,1344.46,1,1,4,114,At Risk
CUST_00067,169,1,1547.7599999999998,3,1,4,314,Regular
CUST_00068,301,1,2613.2599999999998,2,1,4,214,Regular
CUST_00069,27,1,103.32,4,1,1,411,Regular
CUST_00070,130,1,193.72,3,1,2,312,Regular
CUST_00071,135,1,52.97,3,1,1,311,Regular
CUST_00072,10,1,604.93,4,1,3,413,Regular
CUST_00073,266,1,875.18,2,1,3,213,Regular
CUST_00074,156,1,1545.66,3,1,4,314,Regular
CUST_00075,353,1,250.31999999999996,1,1,2,112,At Risk
CUST_00076,91,1,82.63,4,1,1,411,Regular
CUST_00077,416,1,165.02,1,1,2,112,At Risk
CUST_00078,428,1,39.77,1,1,1,111,At Risk
CUST_00079,113,1,465.86,3,1,3,313,Regular
CUST_00080,335,1,252.16,1,1,2,112,At Risk
CUST_00081,56,1,4917.33,4,1,4,414,Regular
CUST_00082,303,1,1278.6499999999999,2,1,4,214,Regular
CUST_00083,411,1,42.89,1,1,1,111,At Risk
CUST_00084,14,1,2289.9,4,1,4,414,Regular
CUST_00085,332,1,265.45000000000005,2,1,2,212,Regular
CUST_00086,8,1,274.03000000000003,4,1,2,412,Regular
CUST_00087,400,1,39.28,1,1,1,111,At Risk
CUST_00088,257,1,781.4,2,1,3,213,Regular
CUST_00089,309,1,688.94,2,1,3,213,Regular
CUST_00090,219,1,112.21,3,1,1,311,Regular
CUST_00091,126,1,1526.15,3,1,4,314,Regular
CUST_00092,24,1,556.56,4,1,3,413,Regular
CUST_00093,265,1,539.39,2,1,3,213,Regular
CUST_00094,368,1,88.89,1,1,1,111,At Risk
